ID,Age,Salary,Purchase_Count,Gender,City,Subscribed
1001,56.0,93850.04,4,Female,Kathmandu,Yes
1002,46.0,86284.78,9,Male,Kathmandu,Yes
1003,32.0,62118.27,7,Male,Kathmandu,Yes
1004,60.0,88974.23,5,Female,Kathmandu,Yes
1005,25.0,50679.37,2,Male,Lalitpur,No
1006,-7.0,64079.53,6,Male,Pokhara,Yes
1007,56.0,57865.91,3,Female,Pokhara,No
1008,36.0,72046.85,6,Female,Kathmandu,Yes
1009,40.0,127866.46,2,Female,Kathmandu,No
1010,28.0,23318.37,3,Male,Lalitpur,No
1011,28.0,87156.5,5,Female,Lalitpur,No
1012,41.0,29682.1,3,Female,Kathmandu,No
1013,53.0,9999999.0,4,Male,Pokhara,No
1014,57.0,97223.76,5,Male,Pokhara,Yes
1015,41.0,71607.0,6,Male,Pokhara,Yes
1016,20.0,43056.38,3,Male,Kathmandu,No
1017,39.0,52117.41,3,Male,Pokhara,No
1018,19.0,86989.94,4,Female,Lalitpur,No
1019,41.0,51740.83,5,Female,Lalitpur,yup
1020,61.0,75411.46,4,Female,Kathmandu,Yes
1021,,71139.3,2,Male,Lalitpur,Yes
1022,55.0,53709.99,6,Male,Kathmandu,Yes
1023,19.0,123598.6,6,Male,Pokhara,Yes
1024,38.0,85847.98,8,Female,Pokhara,Yes
1025,50.0,19371.44,1,Female,Pokhara,No
1026,29.0,74661.36,6,M/F,Lalitpur,Yes
1027,39.0,53455.34,2,Female,Kathmandu,No
1028,61.0,91310.83,5,Male,Pokhara,Yes
1029,42.0,50186.98,2,Female,Kathmandu,No
1030,44.0,67131.59,6,Female,Pokhara,Yes
1031,59.0,82624.68,4,Female,Lalitpur,Yes
1032,45.0,91643.88,3,Male,Lalitpur,Yes
1033,33.0,39992.59,5,Female,Kathmandu,No
1034,32.0,61637.47,6,Female,Lalitpur,Yes
1035,64.0,58126.37,3,Male,Lalitpur,No
1036,61.0,53666.77,4,Female,Kathmandu,maybe
1037,20.0,114136.36,8,Male,Pokhara,Yes
1038,54.0,80124.54,4,Male,Lalitpur,Yes
1039,24.0,38477.9,10,Male,Kathmandu,Yes
1040,38.0,92946.55,4,Male,Lalitpur,No
1041,26.0,123053.9,5,Male,Lalitpur,No
1042,56.0,95811.63,10,Female,Lalitpur,Yes
1043,35.0,32015.75,3,Male,Lalitpur,No
1044,21.0,57894.15,4,Male,Kathmandu,No
1045,42.0,101672.78,7,Male,Kathmandu,Yes
1046,31.0,52308.26,5,Male,Kathmandu,No
1047,26.0,81095.49,10,Female,Lalitpur,Yes
1048,43.0,89365.85,4,Male,Lalitpur,Yes
1049,19.0,46826.74,2,Female,Lalitpur,No
1050,37.0,68511.87,3,Male,Kathmandu,No
1051,45.0,-11031.68,5,Female,Lalitpur,No
1052,64.0,44390.31,8,Male,Pokhara,Yes
1053,24.0,63685.8,4,Male,Lalitpur,No
1054,61.0,38805.42,3,Female,Pokhara,No
1055,25.0,110810.28,8,Male,Lalitpur,Yes
1056,64.0,34246.47,6,Female,Kathmandu,Yes
1057,52.0,58998.89,8,Male,Lalitpur,Yes
1058,31.0,73268.51,3,Female,Pokhara,No
1059,34.0,106031.83,3,Male,Pokhara,No
1060,53.0,34103.45,5,Male,Lalitpur,No
1061,57.0,99079.09,11,Female,Pokhara,Yes
1062,21.0,70255.83,7,Male,Pokhara,Yes
1063,19.0,45462.28,4,Male,Kathmandu,No
1064,23.0,81552.59,3,Male,Lalitpur,No
1065,59.0,74976.49,8,Male,Lalitpur,Yes
1066,21.0,54994.58,8,Male,Lalitpur,Yes
1067,46.0,71745.05,3,Male,Pokhara,Yes
1068,35.0,60367.16,3,Female,Lalitpur,No
1069,43.0,72837.93,6,Female,Lalitpur,Yes
