Product,City,Country,Season,Date,Quantity,Price
Phone,Manchester,UK,Q3,2023-01-01,7,1648
TV,Manchester,UK,Q3,2023-01-02,1,1615
Phone,Birmingham,UK,Q1,2023-01-03,13,978
Phone,Manchester,UK,Q1,2023-01-04,19,413
TV,Leeds,UK,Q2,2023-01-05,19,1914
TV,London,UK,Q4,2023-01-06,17,1311
Phone,Leeds,UK,Q2,2023-01-07,13,1776
Laptop,London,UK,Q1,2023-01-08,16,600
Phone,London,UK,Q2,2023-01-09,8,787
Phone,Leeds,UK,Q1,2023-01-10,19,1088
Phone,Leeds,UK,Q2,2023-01-11,18,1269
Phone,Leeds,UK,Q1,2023-01-12,1,1895
TV,Leeds,UK,Q1,2023-01-13,14,1686
Phone,Birmingham,UK,Q1,2023-01-14,19,791
Laptop,Manchester,UK,Q4,2023-01-15,15,1533
TV,London,UK,Q2,2023-01-16,18,1309
Laptop,Leeds,UK,Q2,2023-01-17,2,291
Laptop,Leeds,UK,Q2,2023-01-18,17,1883
Laptop,Leeds,UK,Q1,2023-01-19,18,872
Laptop,Birmingham,UK,Q2,2023-01-20,6,913
TV,Leeds,UK,Q2,2023-01-21,19,1135
TV,Leeds,UK,Q1,2023-01-22,4,441
Laptop,Leeds,UK,Q3,2023-01-23,1,201
Laptop,Manchester,UK,Q1,2023-01-24,8,424
TV,Birmingham,UK,Q2,2023-01-25,7,1000
TV,Leeds,UK,Q1,2023-01-26,3,1968
TV,London,UK,Q3,2023-01-27,10,788
Phone,London,UK,Q1,2023-01-28,10,315
Phone,London,UK,Q2,2023-01-29,19,1889
Phone,Birmingham,UK,Q3,2023-01-30,14,1117
Laptop,Birmingham,UK,Q4,2023-01-31,2,1326
Phone,London,UK,Q2,2023-02-01,1,393
Laptop,Leeds,UK,Q3,2023-02-02,18,1389
Laptop,Birmingham,UK,Q3,2023-02-03,7,1070
Phone,London,UK,Q4,2023-02-04,8,289
Laptop,London,UK,Q1,2023-02-05,1,1909
Phone,Leeds,UK,Q1,2023-02-06,3,321
Phone,Manchester,UK,Q2,2023-02-07,8,342
TV,Birmingham,UK,Q4,2023-02-08,15,1193
Phone,Leeds,UK,Q1,2023-02-09,5,305
TV,London,UK,Q4,2023-02-10,3,1086
Phone,London,UK,Q1,2023-02-11,19,627
Phone,Leeds,UK,Q3,2023-02-12,1,1528
TV,Birmingham,UK,Q1,2023-02-13,15,516
TV,Manchester,UK,Q4,2023-02-14,8,834
Phone,Manchester,UK,Q3,2023-02-15,2,208
Laptop,London,UK,Q3,2023-02-16,3,973
TV,Birmingham,UK,Q3,2023-02-17,14,1296
Laptop,Manchester,UK,Q4,2023-02-18,14,1582
Laptop,Birmingham,UK,Q2,2023-02-19,11,422
Laptop,Birmingham,UK,Q2,2023-02-20,16,1639
TV,London,UK,Q2,2023-02-21,4,752
Laptop,Manchester,UK,Q4,2023-02-22,5,1593
TV,Leeds,UK,Q3,2023-02-23,14,915
Laptop,London,UK,Q2,2023-02-24,16,1487
Phone,Manchester,UK,Q4,2023-02-25,18,1913
Phone,Manchester,UK,Q2,2023-02-26,7,1541
TV,Manchester,UK,Q1,2023-02-27,10,1307
Phone,Manchester,UK,Q2,2023-02-28,7,1541
Phone,Manchester,UK,Q2,2023-03-01,1,310
Laptop,Birmingham,UK,Q3,2023-03-02,19,450
TV,London,UK,Q4,2023-03-03,16,582
Laptop,Birmingham,UK,Q3,2023-03-04,19,206
Laptop,Leeds,UK,Q3,2023-03-05,4,658
Laptop,Manchester,UK,Q3,2023-03-06,18,1307
Laptop,London,UK,Q3,2023-03-07,2,407
Laptop,Manchester,UK,Q3,2023-03-08,1,1099
Laptop,London,UK,Q2,2023-03-09,15,1613
Laptop,Birmingham,UK,Q3,2023-03-10,5,1537
TV,London,UK,Q3,2023-03-11,11,221
Phone,Leeds,UK,Q4,2023-03-12,10,609
Laptop,Leeds,UK,Q1,2023-03-13,2,1094
Laptop,London,UK,Q2,2023-03-14,3,714
Laptop,London,UK,Q2,2023-03-15,12,1350
Laptop,London,UK,Q2,2023-03-16,5,1008
Laptop,London,UK,Q3,2023-03-17,5,1923
Laptop,Leeds,UK,Q3,2023-03-18,6,1073
Phone,Manchester,UK,Q3,2023-03-19,9,213
Phone,London,UK,Q4,2023-03-20,2,1170
Laptop,London,UK,Q1,2023-03-21,12,1177
Phone,Leeds,UK,Q3,2023-03-22,3,1213
TV,Leeds,UK,Q1,2023-03-23,12,1235
Laptop,Birmingham,UK,Q4,2023-03-24,17,286
TV,London,UK,Q2,2023-03-25,10,1747
TV,Birmingham,UK,Q3,2023-03-26,14,1108
Laptop,Leeds,UK,Q1,2023-03-27,17,1760
Phone,Leeds,UK,Q1,2023-03-28,18,1524
TV,Manchester,UK,Q3,2023-03-29,19,1466
Laptop,London,UK,Q2,2023-03-30,17,321
TV,Birmingham,UK,Q2,2023-03-31,14,1370
TV,Leeds,UK,Q2,2023-04-01,9,1790
TV,Leeds,UK,Q4,2023-04-02,8,949
TV,Birmingham,UK,Q1,2023-04-03,2,1579
Phone,Manchester,UK,Q1,2023-04-04,13,884
TV,Leeds,UK,Q1,2023-04-05,7,1956
TV,London,UK,Q4,2023-04-06,9,1854
TV,Leeds,UK,Q1,2023-04-07,11,508
Phone,London,UK,Q4,2023-04-08,14,894
TV,Birmingham,UK,Q2,2023-04-09,4,487
TV,London,UK,Q3,2023-04-10,13,506
Phone,Birmingham,UK,Q1,2023-04-11,2,1817
Phone,London,UK,Q1,2023-04-12,5,1113
Phone,Birmingham,UK,Q2,2023-04-13,11,1946
TV,London,UK,Q3,2023-04-14,6,861
Phone,Manchester,UK,Q4,2023-04-15,18,748
Phone,London,UK,Q3,2023-04-16,10,1575
TV,London,UK,Q2,2023-04-17,4,511
Phone,Manchester,UK,Q2,2023-04-18,9,1072
TV,Leeds,UK,Q3,2023-04-19,6,1282
Laptop,Leeds,UK,Q4,2023-04-20,2,1866
Phone,London,UK,Q4,2023-04-21,17,1123
Laptop,Manchester,UK,Q1,2023-04-22,5,1937
TV,London,UK,Q4,2023-04-23,6,954
Phone,Birmingham,UK,Q3,2023-04-24,12,234
TV,Birmingham,UK,Q2,2023-04-25,10,644
Laptop,London,UK,Q1,2023-04-26,6,292
TV,Leeds,UK,Q1,2023-04-27,8,1430
Phone,Leeds,UK,Q2,2023-04-28,2,552
Phone,London,UK,Q4,2023-04-29,12,1102
Laptop,London,UK,Q2,2023-04-30,13,1555
TV,Birmingham,UK,Q4,2023-05-01,7,1061
Phone,Leeds,UK,Q2,2023-05-02,10,1948
Laptop,London,UK,Q3,2023-05-03,13,358
Phone,Birmingham,UK,Q4,2023-05-04,17,1156
Phone,Leeds,UK,Q3,2023-05-05,14,223
TV,Manchester,UK,Q1,2023-05-06,2,603
Phone,Birmingham,UK,Q2,2023-05-07,11,1004
TV,Leeds,UK,Q1,2023-05-08,1,715
Phone,Leeds,UK,Q1,2023-05-09,19,931
Laptop,Birmingham,UK,Q1,2023-05-10,4,1587
Phone,Manchester,UK,Q1,2023-05-11,19,1605
TV,Birmingham,UK,Q2,2023-05-12,11,731
TV,Leeds,UK,Q1,2023-05-13,8,1155
Laptop,London,UK,Q2,2023-05-14,11,351
Phone,London,UK,Q2,2023-05-15,4,1785
Phone,Birmingham,UK,Q3,2023-05-16,17,1912
Laptop,Leeds,UK,Q4,2023-05-17,7,1146
Phone,London,UK,Q4,2023-05-18,8,807
Phone,Leeds,UK,Q2,2023-05-19,3,1840
TV,Birmingham,UK,Q3,2023-05-20,2,619
Phone,London,UK,Q2,2023-05-21,15,1473
Phone,Leeds,UK,Q2,2023-05-22,5,1340
Laptop,London,UK,Q2,2023-05-23,1,1065
Laptop,Birmingham,UK,Q3,2023-05-24,4,1735
TV,Leeds,UK,Q4,2023-05-25,15,1963
Phone,London,UK,Q3,2023-05-26,19,777
Phone,Birmingham,UK,Q1,2023-05-27,3,534
Phone,London,UK,Q3,2023-05-28,11,1641
TV,London,UK,Q3,2023-05-29,17,1131
TV,Manchester,UK,Q3,2023-05-30,13,1997
Laptop,Manchester,UK,Q3,2023-05-31,11,494
TV,Birmingham,UK,Q4,2023-06-01,2,954
Phone,Manchester,UK,Q1,2023-06-02,9,1594
Phone,Birmingham,UK,Q4,2023-06-03,2,385
TV,Manchester,UK,Q4,2023-06-04,9,1469
Phone,London,UK,Q3,2023-06-05,9,836
Phone,Birmingham,UK,Q2,2023-06-06,8,1491
TV,Birmingham,UK,Q2,2023-06-07,17,1866
TV,London,UK,Q4,2023-06-08,1,1460
Phone,Birmingham,UK,Q4,2023-06-09,11,729
Phone,Birmingham,UK,Q3,2023-06-10,8,1775
Phone,Manchester,UK,Q4,2023-06-11,10,220
Laptop,Birmingham,UK,Q3,2023-06-12,7,1110
Laptop,Leeds,UK,Q2,2023-06-13,3,1960
Laptop,London,UK,Q2,2023-06-14,3,1066
TV,Manchester,UK,Q1,2023-06-15,18,993
Laptop,Manchester,UK,Q2,2023-06-16,5,1743
TV,Leeds,UK,Q4,2023-06-17,12,299
TV,London,UK,Q2,2023-06-18,12,951
Laptop,London,UK,Q3,2023-06-19,19,677
Laptop,Manchester,UK,Q2,2023-06-20,6,1822
Laptop,Birmingham,UK,Q1,2023-06-21,2,1521
Phone,Manchester,UK,Q2,2023-06-22,12,1139
Laptop,London,UK,Q3,2023-06-23,19,725
Phone,Leeds,UK,Q3,2023-06-24,5,533
TV,Manchester,UK,Q4,2023-06-25,12,201
Phone,London,UK,Q2,2023-06-26,17,574
Laptop,Manchester,UK,Q3,2023-06-27,17,492
TV,Birmingham,UK,Q1,2023-06-28,10,1036
TV,Manchester,UK,Q4,2023-06-29,17,1204
TV,Manchester,UK,Q1,2023-06-30,15,752
Phone,London,UK,Q2,2023-07-01,12,517
Laptop,London,UK,Q2,2023-07-02,16,1725
TV,London,UK,Q2,2023-07-03,19,580
TV,Manchester,UK,Q4,2023-07-04,8,1846
TV,Birmingham,UK,Q3,2023-07-05,17,213
Phone,Leeds,UK,Q4,2023-07-06,5,703
Phone,Leeds,UK,Q1,2023-07-07,16,430
Laptop,London,UK,Q4,2023-07-08,6,1307
Phone,London,UK,Q1,2023-07-09,8,329
TV,Manchester,UK,Q4,2023-07-10,18,1966
Laptop,Leeds,UK,Q3,2023-07-11,12,1037
TV,London,UK,Q1,2023-07-12,15,1368
TV,Birmingham,UK,Q2,2023-07-13,9,1090
Phone,Birmingham,UK,Q2,2023-07-14,13,227
Laptop,London,UK,Q4,2023-07-15,15,265
Phone,London,UK,Q2,2023-07-16,10,1386
Phone,Leeds,UK,Q1,2023-07-17,16,1452
Laptop,Leeds,UK,Q2,2023-07-18,7,460
TV,Manchester,UK,Q3,2023-07-19,17,1672
TV,Leeds,UK,Q3,2023-07-20,7,1647
Laptop,Birmingham,UK,Q4,2023-07-21,14,659
TV,Birmingham,UK,Q1,2023-07-22,15,1899
Laptop,London,UK,Q3,2023-07-23,7,500
Laptop,Leeds,UK,Q3,2023-07-24,9,1118
Phone,Manchester,UK,Q1,2023-07-25,19,1526
Laptop,Birmingham,UK,Q2,2023-07-26,16,486
Phone,Birmingham,UK,Q2,2023-07-27,8,1618
TV,Manchester,UK,Q4,2023-07-28,18,1233
TV,Manchester,UK,Q2,2023-07-29,18,1930
TV,Birmingham,UK,Q1,2023-07-30,7,829
TV,Birmingham,UK,Q3,2023-07-31,3,469
Phone,Manchester,UK,Q2,2023-08-01,18,791
TV,Birmingham,UK,Q4,2023-08-02,10,1828
Laptop,London,UK,Q2,2023-08-03,7,1043
Laptop,London,UK,Q1,2023-08-04,17,1061
Laptop,Manchester,UK,Q4,2023-08-05,14,1584
Phone,Leeds,UK,Q2,2023-08-06,3,1480
TV,Manchester,UK,Q4,2023-08-07,12,332
TV,Manchester,UK,Q1,2023-08-08,13,1499
TV,Leeds,UK,Q3,2023-08-09,2,1999
Phone,Leeds,UK,Q1,2023-08-10,3,1906
Laptop,Leeds,UK,Q1,2023-08-11,5,1171
Laptop,London,UK,Q1,2023-08-12,11,712
TV,Birmingham,UK,Q1,2023-08-13,8,512
Laptop,London,UK,Q3,2023-08-14,12,775
Laptop,Birmingham,UK,Q3,2023-08-15,7,1085
Phone,London,UK,Q4,2023-08-16,15,1507
Phone,Birmingham,UK,Q2,2023-08-17,17,1344
Phone,London,UK,Q3,2023-08-18,4,1330
Phone,Leeds,UK,Q3,2023-08-19,13,886
TV,Manchester,UK,Q2,2023-08-20,18,1427
Phone,London,UK,Q3,2023-08-21,1,364
Laptop,Birmingham,UK,Q1,2023-08-22,16,504
TV,Leeds,UK,Q1,2023-08-23,13,1720
Laptop,London,UK,Q2,2023-08-24,10,1855
Laptop,London,UK,Q4,2023-08-25,12,1779
Laptop,Leeds,UK,Q4,2023-08-26,2,355
Phone,London,UK,Q2,2023-08-27,3,1590
Phone,Manchester,UK,Q2,2023-08-28,10,1942
TV,London,UK,Q1,2023-08-29,2,819
TV,Manchester,UK,Q4,2023-08-30,13,1474
Phone,Manchester,UK,Q3,2023-08-31,13,1156
Laptop,Leeds,UK,Q1,2023-09-01,18,533
TV,London,UK,Q2,2023-09-02,3,1865
Phone,Leeds,UK,Q4,2023-09-03,7,1168
Phone,London,UK,Q3,2023-09-04,14,710
Phone,London,UK,Q3,2023-09-05,17,1516
Laptop,Birmingham,UK,Q1,2023-09-06,12,1243
Phone,London,UK,Q4,2023-09-07,16,481
Phone,Leeds,UK,Q4,2023-09-08,12,996
Phone,Manchester,UK,Q2,2023-09-09,15,1224
Phone,London,UK,Q4,2023-09-10,10,318
TV,Birmingham,UK,Q4,2023-09-11,7,1258
TV,Leeds,UK,Q1,2023-09-12,5,397
