ID,Age,Salary,Purchase_Count,Gender,Subscribed,City
1001,56,93850.04,4,Female,No,Lalitpur
1002,46,86284.78,9,Male,Yes,Pokhara
1003,32,62118.27,7,Male,No,Pokhara
1004,60,88974.23,5,Female,Yes,Kathmandu
1005,25,50679.37,2,Male,Yes,Kathmandu
1006,38,64079.53,6,Male,Yes,Lalitpur
1007,56,57865.91,3,Female,No,Lalitpur
1008,36,72046.85,6,Female,Yes,Kathmandu
1009,40,127866.46,2,Female,No,Kathmandu
1010,28,23318.37,3,Male,Yes,Pokhara
1011,28,87156.5,5,Female,No,Kathmandu
1012,41,29682.1,3,Female,Yes,Kathmandu
1013,53,58201.7,4,Male,No,Lalitpur
1014,57,97223.76,5,Male,No,Kathmandu
1015,41,71607.0,6,Male,Yes,Lalitpur
1016,20,43056.38,3,Male,No,Kathmandu
1017,39,52117.41,3,Male,No,Pokhara
1018,19,86989.94,4,Female,No,Kathmandu
1019,41,51740.83,5,Female,No,Kathmandu
1020,61,75411.46,4,Female,Yes,Kathmandu
1021,47,71139.3,2,Male,No,Lalitpur
1022,55,53709.99,6,Male,Yes,Pokhara
1023,19,123598.6,6,Male,Yes,Kathmandu
1024,38,85847.98,8,Female,No,Lalitpur
1025,50,19371.44,1,Female,Yes,Pokhara
1026,29,74661.36,6,Male,No,Lalitpur
1027,39,53455.34,2,Female,No,Lalitpur
1028,61,91310.83,5,Male,No,Pokhara
1029,42,50186.98,2,Female,No,Kathmandu
1030,44,67131.59,6,Female,Yes,Lalitpur
1031,59,82624.68,4,Female,Yes,Lalitpur
1032,45,91643.88,3,Male,No,Kathmandu
1033,33,39992.59,5,Female,Yes,Kathmandu
1034,32,61637.47,6,Female,Yes,Pokhara
1035,64,58126.37,3,Male,Yes,Pokhara
1036,61,53666.77,4,Female,No,Pokhara
1037,20,114136.36,8,Male,No,Kathmandu
1038,54,80124.54,4,Male,Yes,Lalitpur
1039,24,38477.9,10,Male,No,Lalitpur
1040,38,92946.55,4,Male,Yes,Pokhara
1041,26,123053.9,5,Male,Yes,Kathmandu
1042,56,95811.63,10,Female,No,Lalitpur
1043,35,32015.75,3,Male,No,Pokhara
1044,21,57894.15,4,Male,No,Lalitpur
1045,42,101672.78,7,Male,Yes,Lalitpur
1046,31,52308.26,5,Male,No,Kathmandu
1047,26,81095.49,10,Female,No,Kathmandu
1048,43,89365.85,4,Male,No,Lalitpur
1049,19,46826.74,2,Female,No,Pokhara
1050,37,68511.87,3,Male,No,Kathmandu
1051,45,-11031.68,5,Female,No,Lalitpur
1052,64,44390.31,8,Male,No,Kathmandu
1053,24,63685.8,4,Male,No,Kathmandu
1054,61,38805.42,3,Female,No,Kathmandu
1055,25,110810.28,8,Male,No,Lalitpur
1056,64,34246.47,6,Female,No,Pokhara
1057,52,58998.89,8,Male,Yes,Pokhara
1058,31,73268.51,3,Female,Yes,Pokhara
1059,34,106031.83,3,Male,No,Kathmandu
1060,53,34103.45,5,Male,No,Lalitpur
1061,57,99079.09,11,Female,No,Kathmandu
1062,21,70255.83,7,Male,Yes,Pokhara
1063,19,45462.28,4,Male,No,Pokhara
1064,23,81552.59,3,Male,Yes,Lalitpur
1065,59,74976.49,8,Male,No,Kathmandu
1066,21,54994.58,8,Male,No,Pokhara
1067,46,71745.05,3,Male,No,Lalitpur
1068,35,60367.16,3,Female,No,Kathmandu
1069,43,72837.93,6,Female,No,Kathmandu
1070,61,86553.27,2,Female,No,Pokhara
1071,51,109650.42,7,Male,Yes,Pokhara
1072,27,39054.61,5,Female,No,Kathmandu
1073,53,123325.83,5,Male,No,Kathmandu
1074,31,21197.81,6,Male,No,Pokhara
1075,48,66205.37,1,Male,Yes,Kathmandu
1076,65,84707.93,10,Male,No,Pokhara
